occupancy_type,loan_amount,action_taken,state_code,county_code,applicant_race_1,applicant_sex,applicant_age,income,applicant_credit_scoring_model,debt_to_income_ratio,loan_term,interest_only_payment,property_value,target
2,2245000,1,NY,36061,5,2,45-54,1630,1,20%-<30%,360,2,3005000,1
1,2865000,1,CA,06059,5,1,65-74,788,3,43,360,2,3825000,1
1,375000,1,LA,22071,5,2,25-34,144,2,20%-<30%,360,2,475000,1
1,655000,1,NY,36047,5,1,25-34,165,2,30%-<36%,360,2,1055000,1
1,665000,1,LA,22071,5,1,55-64,724,1,<20%,360,2,1115000,1
1,295000,1,FL,12071,5,1,>74,186,2,46,360,2,1315000,1
2,365000,3,FL,12045,5,1,45-54,162,3,49,360,2,865000,0
1,635000,1,GA,13121,5,2,45-54,,3,20%-<30%,360,1,795000,1
1,535000,1,MO,29095,5,2,35-44,152,3,40,360,2,535000,1
1,1345000,1,MA,25021,5,1,25-34,327,3,43,360,2,1795000,1
2,1005000,1,FL,12115,5,2,55-64,829,3,20%-<30%,360,2,1355000,1
1,635000,1,MN,27115,5,1,65-74,358,2,30%-<36%,360,2,785000,1
1,515000,1,WA,53053,5,1,35-44,155,1,37,360,2,575000,1
1,845000,1,CA,06073,5,2,55-64,303,3,39,360,1,1205000,1
1,1205000,1,CA,06081,5,1,>74,228,2,48,360,2,2425000,1
1,1255000,1,CA,06087,5,1,45-54,358,1,30%-<36%,360,2,1785000,1
1,585000,1,NJ,34025,5,1,25-34,,1,30%-<36%,360,2,735000,1
1,905000,1,FL,12011,5,1,25-34,,1,30%-<36%,360,2,1125000,1
1,515000,1,UT,49043,5,1,35-44,215,1,30%-<36%,360,2,525000,1
1,1145000,1,FL,12103,5,1,55-64,313,1,41,360,2,1425000,1
1,295000,1,KY,21111,5,2,25-34,196,1,<20%,360,2,475000,1
1,235000,1,IL,17111,5,2,35-44,125,1,20%-<30%,360,2,365000,1
2,515000,1,FL,12099,5,1,65-74,290,1,30%-<36%,360,2,695000,1
1,615000,1,NV,32003,5,1,35-44,330,2,30%-<36%,360,2,725000,1
2,1005000,1,VA,51059,5,1,45-54,2763,1,<20%,360,2,2005000,1
1,535000,1,NJ,34003,2,2,25-34,251,2,37,360,2,675000,1
3,315000,1,TN,47037,5,1,65-74,261,1,43,360,1,685000,1
1,885000,1,NJ,34017,5,2,35-44,258,2,30%-<36%,360,2,1105000,1
1,225000,1,WA,53011,5,2,>74,72,3,47,360,2,525000,1
3,235000,1,MD,24017,5,1,55-64,,1,<20%,360,2,315000,1
1,805000,1,TX,48453,5,1,35-44,218,3,37,360,2,1155000,1
2,1955000,1,CA,06079,2,1,55-64,453,3,49,360,2,3005000,1
1,645000,1,NJ,34025,5,2,25-34,443,2,20%-<30%,360,2,895000,1
2,2475000,1,NY,36061,5,1,45-54,,2,20%-<30%,360,1,3305000,1
1,735000,1,MD,24031,5,2,45-54,944,1,<20%,360,2,975000,1
1,515000,1,NC,37183,5,1,45-54,237,3,30%-<36%,360,1,785000,1
2,1105000,1,NJ,34025,5,1,35-44,795,1,20%-<30%,360,2,1205000,1
3,705000,1,CA,06085,2,1,45-54,292,1,20%-<30%,360,2,1405000,1
1,515000,1,CA,06037,5,1,35-44,239,1,30%-<36%,360,1,2155000,1
1,765000,1,TN,47037,5,2,55-64,460,1,20%-<30%,360,1,1355000,1
1,925000,1,NY,36119,5,1,45-54,,3,41,360,2,1155000,1
1,205000,1,MI,26099,5,1,25-34,105,3,20%-<30%,360,2,205000,1
1,815000,1,PA,42029,5,1,35-44,337,1,20%-<30%,360,2,855000,1
1,865000,1,NJ,34003,5,2,55-64,507,3,20%-<30%,360,2,2105000,1
1,915000,1,WA,53061,5,1,65-74,223,3,30%-<36%,360,2,1325000,1
1,655000,1,CT,09001,5,1,65-74,215,1,30%-<36%,360,2,2005000,1
1,2675000,1,MD,24003,5,1,55-64,766,3,42,360,1,3675000,1
2,1915000,1,FL,12115,5,1,55-64,1335,3,30%-<36%,360,1,3505000,1
1,2405000,1,AZ,04013,5,1,55-64,546,1,49,360,1,4045000,1
1,835000,1,FL,12081,5,1,25-34,343,1,30%-<36%,360,2,1045000,1
1,365000,1,TX,48339,5,2,35-44,96,1,44,360,2,635000,1
1,755000,1,CO,08035,5,1,65-74,344,1,39,360,2,3455000,1
1,2505000,1,CA,06037,5,1,35-44,981,3,38,360,2,3475000,1
2,805000,1,GA,13237,5,1,55-64,,1,20%-<30%,360,2,1005000,1
1,265000,1,PA,42003,5,1,45-54,91,1,20%-<30%,360,2,325000,1
1,5585000,1,FL,12087,5,1,55-64,2061,3,41,360,1,10705000,1
1,515000,1,NC,37037,2,1,55-64,344,1,30%-<36%,180,2,795000,1
1,785000,1,FL,12095,2,2,45-54,477,3,30%-<36%,360,2,975000,1
1,815000,1,IL,17031,5,1,25-34,241,3,30%-<36%,360,2,1025000,1
2,205000,1,TN,47051,5,1,55-64,521,3,<20%,180,2,1225000,1
1,915000,1,CA,06085,5,1,55-64,422,3,44,360,1,3905000,1
3,935000,1,TN,47155,5,1,55-64,924,3,43,360,2,1705000,1
1,375000,1,OH,39035,5,2,<25,233,2,<20%,360,2,495000,1
1,905000,1,NJ,34013,2,1,55-64,1046,3,20%-<30%,360,1,1805000,1
1,565000,1,OH,39035,5,2,35-44,653,2,<20%,360,2,815000,1
1,1115000,1,NJ,34009,5,1,45-54,747,2,20%-<30%,360,1,1495000,1
1,365000,1,AZ,04019,5,2,>74,129,2,30%-<36%,360,2,455000,1
1,515000,1,GA,13127,5,1,65-74,301,1,20%-<30%,360,2,565000,1
1,205000,1,OR,41011,5,1,<25,315,1,20%-<30%,360,2,355000,1
2,515000,1,MD,24031,5,1,55-64,700,1,<20%,360,2,1195000,1
1,225000,3,KS,20045,5,1,45-54,2,1,>60%,360,2,235000,0
1,895000,1,CA,06111,5,1,45-54,199,3,44,360,2,995000,1
2,905000,1,SC,45051,5,1,55-64,338,1,41,360,1,1205000,1
